Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Product Manager,Manufacturing,Medium,Paris,Medium,Medium,Data Analysis,"$89,397 ",Yes,Decline
Operations Manager,Transportation,Medium,San Francisco,Low,Low,UX/UI Design,"$88,539 ",Yes,Stable
Data Scientist,Entertainment,Medium,Sydney,Low,Low,Sales,"$112,234 ",Yes,Stable
UX Designer,Transportation,Large,Tokyo,Medium,High,UX/UI Design,"$95,763 ",No,Decline
HR Manager,Manufacturing,Small,Tokyo,High,Low,Cybersecurity,"$73,323 ",Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,New York,High,High,Marketing,"$84,272 ",Yes,Stable
Marketing Specialist,Telecommunications,Large,San Francisco,Low,Medium,Python,"$96,548 ",Yes,Growth
Operations Manager,Transportation,Medium,Dubai,High,Medium,Project Management,"$46,706 ",Yes,Stable
HR Manager,Telecommunications,Large,London,Medium,High,Data Analysis,"$116,772 ",Yes,Stable
Sales Manager,Manufacturing,Large,Paris,Medium,Low,Machine Learning,"$73,377 ",No,Growth
HR Manager,Finance,Large,London,Low,Medium,Machine Learning,"$118,341 ",Yes,Stable
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Low,Machine Learning,"$97,849 ",Yes,Stable
Sales Manager,Healthcare,Large,Dubai,Low,Medium,JavaScript,"$102,592 ",Yes,Growth
Operations Manager,Entertainment,Small,San Francisco,Medium,High,Machine Learning,"$112,988 ",Yes,Stable
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,High,Project Management,"$101,463 ",Yes,Stable
Software Engineer,Telecommunications,Small,New York,High,High,Python,"$103,458 ",Yes,Stable
Marketing Specialist,Technology,Medium,Sydney,Medium,Medium,Machine Learning,"$86,712 ",Yes,Growth
Operations Manager,Education,Small,Dubai,Medium,Low,UX/UI Design,"$97,443 ",Yes,Decline
Software Engineer,Transportation,Small,London,Low,Low,UX/UI Design,"$78,250 ",Yes,Growth
UX Designer,Energy,Medium,Dubai,Low,Low,JavaScript,"$83,132 ",Yes,Decline
Operations Manager,Telecommunications,Small,New York,Medium,Medium,Project Management,"$129,294 ",No,Stable
UX Designer,Entertainment,Large,Singapore,Low,Medium,Python,"$73,836 ",No,Decline
Sales Manager,Healthcare,Large,Singapore,Medium,Medium,Data Analysis,"$93,086 ",No,Growth
Software Engineer,Telecommunications,Small,Tokyo,High,Medium,Cybersecurity,"$92,269 ",No,Growth
Marketing Specialist,Healthcare,Medium,Paris,Low,Medium,Python,"$83,785 ",Yes,Stable
Cybersecurity Analyst,Manufacturing,Large,Berlin,Medium,Low,Cybersecurity,"$100,288 ",No,Decline
AI Researcher,Manufacturing,Medium,Sydney,High,Medium,Marketing,"$101,794 ",No,Stable
HR Manager,Education,Medium,Toronto,High,Medium,Cybersecurity,"$71,484 ",Yes,Stable
Data Scientist,Finance,Large,Tokyo,Medium,Low,Sales,"$92,027 ",No,Growth
Marketing Specialist,Energy,Medium,Paris,Low,Medium,UX/UI Design,"$68,353 ",No,Decline
Software Engineer,Technology,Large,Singapore,Medium,Low,Project Management,"$105,771 ",Yes,Decline
AI Researcher,Education,Medium,London,High,Low,Communication,"$93,530 ",Yes,Decline
Marketing Specialist,Retail,Large,Toronto,Medium,High,JavaScript,"$91,647 ",Yes,Decline
Software Engineer,Technology,Small,Paris,Low,High,Sales,"$103,181 ",No,Stable
Product Manager,Transportation,Large,Paris,High,High,Cybersecurity,"$84,490 ",No,Stable
Product Manager,Entertainment,Large,Tokyo,Medium,High,Machine Learning,"$108,280 ",Yes,Growth
UX Designer,Retail,Large,Toronto,Low,Medium,Project Management,"$71,031 ",Yes,Stable
Marketing Specialist,Retail,Large,San Francisco,High,High,Sales,"$118,238 ",No,Stable
Product Manager,Education,Medium,Berlin,Low,Low,JavaScript,"$78,982 ",Yes,Growth
Software Engineer,Finance,Small,San Francisco,High,Medium,UX/UI Design,"$56,076 ",No,Growth
UX Designer,Education,Large,Toronto,Medium,High,Project Management,"$83,429 ",Yes,Growth
Software Engineer,Transportation,Medium,San Francisco,Low,Low,JavaScript,"$81,161 ",Yes,Stable
UX Designer,Telecommunications,Small,New York,High,Medium,Marketing,"$83,279 ",No,Stable
Marketing Specialist,Telecommunications,Small,Singapore,Low,Medium,Marketing,"$94,633 ",Yes,Growth
AI Researcher,Finance,Small,New York,Low,High,JavaScript,"$111,957 ",Yes,Growth
Cybersecurity Analyst,Transportation,Small,Dubai,Medium,Medium,Sales,"$86,166 ",Yes,Growth
Operations Manager,Finance,Large,San Francisco,Low,Low,Project Management,"$76,168 ",No,Stable
AI Researcher,Healthcare,Large,Dubai,High,Medium,Sales,"$67,469 ",Yes,Stable
Sales Manager,Telecommunications,Medium,London,High,Low,Data Analysis,"$80,636 ",Yes,Decline
Software Engineer,Retail,Medium,Sydney,High,Medium,Cybersecurity,"$52,244 ",Yes,Stable
Sales Manager,Energy,Medium,London,High,High,Data Analysis,"$75,497 ",Yes,Stable
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,"$114,881 ",Yes,Stable
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,"$73,533 ",Yes,Growth
Operations Manager,Technology,Large,Singapore,Medium,Medium,Python,"$102,574 ",No,Stable
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,"$65,470 ",No,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,"$125,422 ",Yes,Decline
Operations Manager,Technology,Small,Sydney,Low,Low,Sales,"$126,752 ",No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,"$101,820 ",No,Growth
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,"$129,825 ",Yes,Growth
AI Researcher,Technology,Large,Berlin,Medium,High,UX/UI Design,"$97,116 ",No,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,"$105,370 ",No,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,"$115,239 ",No,Decline
AI Researcher,Education,Large,New York,Low,High,Sales,"$93,594 ",No,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,"$58,952 ",No,Stable
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,"$105,779 ",No,Decline
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,"$80,563 ",No,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,"$82,049 ",No,Decline
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,"$95,958 ",Yes,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,"$101,326 ",Yes,Decline
Sales Manager,Finance,Large,Paris,Low,Medium,Python,"$93,003 ",No,Decline
UX Designer,Finance,Medium,Dubai,Low,High,Project Management,"$102,715 ",No,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,"$75,863 ",Yes,Growth
UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,"$89,146 ",No,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,"$106,982 ",No,Growth
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,"$125,456 ",Yes,Stable
Operations Manager,Technology,Small,Berlin,Medium,Medium,Python,"$132,529 ",Yes,Growth
AI Researcher,Technology,Medium,Toronto,Medium,High,Sales,"$98,660 ",Yes,Growth
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,"$106,800 ",No,Growth
Data Scientist,Education,Medium,Sydney,High,Low,Python,"$129,632 ",No,Growth
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,"$76,583 ",Yes,Growth
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,"$102,594 ",Yes,Decline
AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,"$105,367 ",No,Decline
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,"$118,957 ",Yes,Decline
HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,"$67,257 ",No,Stable
AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,"$71,212 ",No,Growth
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,"$90,428 ",Yes,Decline
HR Manager,Energy,Small,New York,High,Medium,Python,"$97,555 ",Yes,Stable
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,"$112,457 ",No,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,"$100,351 ",Yes,Decline
Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,"$86,972 ",Yes,Growth
HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,"$98,329 ",Yes,Stable
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,"$96,021 ",Yes,Growth
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,"$124,900 ",No,Growth
UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,"$93,313 ",No,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,"$82,338 ",No,Growth
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,"$98,992 ",No,Stable
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,"$93,970 ",Yes,Growth
UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,"$58,580 ",Yes,Growth
UX Designer,Education,Medium,Tokyo,High,Low,Project Management,"$89,687 ",No,Growth
HR Manager,Technology,Large,Tokyo,Medium,Medium,Marketing,"$87,985 ",No,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,"$79,123 ",Yes,Stable
Data Scientist,Technology,Medium,Sydney,Medium,Low,UX/UI Design,"$110,712 ",No,Decline
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,"$74,286 ",No,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,"$99,112 ",Yes,Decline
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,"$87,043 ",No,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,"$92,154 ",Yes,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,"$98,236 ",Yes,Stable
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,"$63,849 ",No,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,"$93,833 ",Yes,Decline
HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,"$135,779 ",No,Decline
Product Manager,Healthcare,Large,London,High,High,Python,"$58,865 ",Yes,Stable
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,"$88,848 ",No,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,"$112,465 ",No,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,"$96,032 ",No,Stable
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,"$103,759 ",Yes,Growth
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,"$42,487 ",Yes,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,"$101,965 ",No,Decline
UX Designer,Technology,Small,New York,Low,Medium,Marketing,"$74,766 ",Yes,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,"$96,198 ",No,Stable
Operations Manager,Technology,Small,Dubai,High,High,Python,"$89,411 ",No,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,"$135,567 ",Yes,Stable
Data Scientist,Technology,Large,Berlin,Low,High,Data Analysis,"$100,934 ",No,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,"$87,748 ",Yes,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,"$59,806 ",No,Growth
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,"$92,423 ",Yes,Growth
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,"$106,465 ",No,Decline
Operations Manager,Technology,Medium,Paris,Low,Low,JavaScript,"$88,389 ",No,Stable
HR Manager,Technology,Medium,London,High,Medium,Data Analysis,"$79,887 ",Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,"$78,548 ",No,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,"$100,703 ",No,Decline
AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,"$105,188 ",Yes,Stable
Operations Manager,Technology,Small,New York,Low,High,JavaScript,"$117,224 ",No,Growth
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,"$70,100 ",Yes,Stable
Data Scientist,Transportation,Large,Berlin,High,High,Python,"$100,520 ",No,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,"$87,566 ",Yes,Stable
UX Designer,Technology,Medium,Sydney,Low,High,Project Management,"$88,155 ",No,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,"$98,037 ",No,Growth
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,"$98,153 ",No,Stable
AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,"$100,575 ",Yes,Growth
Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,"$68,851 ",Yes,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,"$75,004 ",Yes,Decline
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,"$119,717 ",Yes,Growth
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,"$85,589 ",No,Growth
UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,"$96,120 ",No,Decline
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,"$111,093 ",Yes,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,"$99,269 ",Yes,Decline
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,"$100,930 ",Yes,Stable
HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,"$107,892 ",No,Decline
Data Scientist,Technology,Small,San Francisco,Low,Medium,UX/UI Design,"$47,667 ",Yes,Growth
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,"$80,201 ",Yes,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,"$99,372 ",No,Growth
AI Researcher,Technology,Large,New York,High,Medium,JavaScript,"$117,753 ",No,Stable
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,"$91,322 ",Yes,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,"$73,106 ",No,Stable
Software Engineer,Technology,Medium,Dubai,Medium,Low,Data Analysis,"$73,638 ",Yes,Growth
Software Engineer,Technology,Large,Sydney,Low,Medium,Sales,"$107,677 ",No,Growth
Product Manager,Energy,Large,London,Low,Low,Project Management,"$85,645 ",Yes,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,"$89,856 ",Yes,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,"$102,301 ",Yes,Decline
Data Scientist,Transportation,Small,New York,Low,Low,Python,"$31,970 ",Yes,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,"$130,007 ",No,Stable
HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,"$75,379 ",No,Stable
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,"$94,839 ",No,Decline
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,"$55,906 ",No,Decline
UX Designer,Education,Small,New York,Medium,Medium,Communication,"$81,549 ",Yes,Decline
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,"$114,894 ",Yes,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,"$51,677 ",No,Decline
Marketing Specialist,Technology,Medium,San Francisco,Medium,High,Python,"$112,524 ",No,Decline
Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,"$84,526 ",No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,"$99,743 ",No,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,"$103,150 ",No,Decline
Product Manager,Technology,Large,New York,Medium,Medium,UX/UI Design,"$98,828 ",Yes,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,"$72,701 ",Yes,Stable
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,"$82,709 ",Yes,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,"$60,769 ",No,Decline
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,"$99,836 ",No,Growth
Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,"$124,041 ",No,Stable
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,"$53,511 ",No,Growth
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,"$74,767 ",Yes,Stable
Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,"$86,364 ",Yes,Growth
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,"$93,467 ",No,Growth
HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,"$107,584 ",Yes,Decline
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,"$86,956 ",Yes,Growth
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,"$83,681 ",No,Decline
HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,"$112,063 ",No,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,"$103,240 ",No,Decline
HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,"$100,780 ",No,Decline
HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,"$92,250 ",No,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,"$109,663 ",No,Stable
Cybersecurity Analyst,Technology,Medium,London,High,High,Communication,"$76,874 ",Yes,Stable
Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,"$74,146 ",Yes,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,"$104,922 ",No,Growth
Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,"$57,499 ",Yes,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,"$91,844 ",No,Stable
Cybersecurity Analyst,Technology,Large,Toronto,Low,High,Cybersecurity,"$83,669 ",No,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,"$61,885 ",No,Decline
AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,"$71,375 ",No,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,"$87,820 ",Yes,Decline
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,"$110,679 ",No,Stable
Operations Manager,Technology,Small,San Francisco,High,Medium,Marketing,"$76,941 ",Yes,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,"$114,268 ",No,Stable
Cybersecurity Analyst,Technology,Small,Toronto,Medium,Low,Machine Learning,"$91,264 ",No,Decline
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,"$116,208 ",No,Growth
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,"$77,910 ",Yes,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,"$89,024 ",No,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,"$97,370 ",No,Decline
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,"$86,410 ",No,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,"$109,060 ",Yes,Decline
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,"$45,849 ",Yes,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,"$138,448 ",Yes,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Python,"$107,155 ",No,Decline
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,"$86,529 ",Yes,Stable
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,"$78,954 ",No,Growth
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,"$72,672 ",Yes,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,"$102,912 ",Yes,Growth
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,"$109,900 ",No,Stable
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,"$86,749 ",Yes,Decline
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,"$112,140 ",No,Decline
HR Manager,Energy,Large,Toronto,High,Low,Sales,"$71,855 ",No,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,"$68,324 ",Yes,Stable
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,"$126,267 ",No,Growth
Product Manager,Finance,Small,Toronto,Low,Low,Python,"$101,822 ",No,Decline
AI Researcher,Healthcare,Small,Tokyo,Low,High,Data Analysis,"$117,937 ",Yes,Growth
Data Scientist,Telecommunications,Large,Toronto,Low,Medium,Machine Learning,"$72,921 ",Yes,Growth
AI Researcher,Finance,Medium,London,Medium,Low,Cybersecurity,"$71,529 ",No,Stable
Marketing Specialist,Finance,Small,San Francisco,Low,High,Cybersecurity,"$82,828 ",Yes,Decline
Data Scientist,Manufacturing,Small,Sydney,Medium,Medium,Project Management,"$73,519 ",No,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Low,High,JavaScript,"$104,107 ",No,Decline
Marketing Specialist,Healthcare,Small,London,High,Low,Communication,"$74,977 ",Yes,Decline
Product Manager,Telecommunications,Medium,Sydney,Low,Low,Sales,"$66,567 ",Yes,Stable
AI Researcher,Education,Medium,Tokyo,Low,Low,Communication,"$92,840 ",Yes,Decline
Marketing Specialist,Manufacturing,Medium,Dubai,High,Low,Project Management,"$64,200 ",Yes,Decline
HR Manager,Education,Medium,Singapore,Medium,Medium,Data Analysis,"$54,011 ",No,Growth
Operations Manager,Technology,Medium,London,Medium,Medium,Sales,"$92,665 ",No,Stable
HR Manager,Manufacturing,Large,Paris,Low,High,Machine Learning,"$55,016 ",Yes,Decline
Operations Manager,Entertainment,Small,London,High,Low,Communication,"$105,506 ",Yes,Growth
Software Engineer,Telecommunications,Large,London,Medium,High,Machine Learning,"$62,093 ",No,Stable
Software Engineer,Healthcare,Small,Sydney,Low,Medium,Communication,"$45,187 ",No,Stable
Software Engineer,Technology,Large,New York,High,Low,Machine Learning,"$84,124 ",No,Growth
Product Manager,Telecommunications,Medium,Toronto,Medium,Low,Communication,"$92,892 ",No,Growth
HR Manager,Entertainment,Small,New York,Medium,Medium,Machine Learning,"$99,830 ",Yes,Growth
Operations Manager,Telecommunications,Small,Tokyo,High,Medium,Project Management,"$93,440 ",No,Growth
Marketing Specialist,Entertainment,Large,Paris,High,Medium,Marketing,"$68,814 ",No,Growth
Data Scientist,Entertainment,Large,Dubai,High,Medium,Sales,"$104,261 ",Yes,Decline
Marketing Specialist,Education,Small,Berlin,High,Medium,JavaScript,"$109,203 ",No,Decline
Data Scientist,Energy,Large,Tokyo,Low,Low,Data Analysis,"$65,885 ",No,Stable
Sales Manager,Technology,Large,Berlin,High,Medium,UX/UI Design,"$86,380 ",Yes,Decline
Marketing Specialist,Telecommunications,Large,Berlin,Medium,Low,Python,"$84,511 ",Yes,Decline
AI Researcher,Retail,Medium,Dubai,Medium,Low,JavaScript,"$94,408 ",Yes,Decline
AI Researcher,Technology,Medium,San Francisco,Low,Medium,Python,"$85,902 ",No,Growth
Cybersecurity Analyst,Energy,Large,New York,Medium,Medium,Sales,"$88,642 ",No,Stable
HR Manager,Technology,Large,London,Medium,Low,JavaScript,"$102,836 ",Yes,Stable
Data Scientist,Finance,Medium,Singapore,High,Medium,Machine Learning,"$67,723 ",Yes,Stable
Data Scientist,Retail,Medium,Berlin,Medium,Medium,Machine Learning,"$104,747 ",No,Stable
HR Manager,Energy,Small,Paris,Low,Medium,UX/UI Design,"$112,823 ",Yes,Decline
Product Manager,Education,Small,Tokyo,High,High,Python,"$122,683 ",Yes,Decline
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,High,Low,Data Analysis,"$47,133 ",Yes,Growth
Product Manager,Transportation,Large,Berlin,Low,High,Sales,"$86,342 ",No,Stable
Product Manager,Energy,Large,San Francisco,High,Medium,Machine Learning,"$50,698 ",No,Decline
Product Manager,Healthcare,Large,San Francisco,High,High,Marketing,"$41,299 ",No,Decline
HR Manager,Telecommunications,Large,Berlin,Low,Medium,Project Management,"$92,882 ",No,Growth
Product Manager,Energy,Small,Sydney,High,High,Project Management,"$82,017 ",No,Growth
AI Researcher,Finance,Medium,Toronto,Low,Medium,Communication,"$95,997 ",No,Growth
Software Engineer,Transportation,Large,Paris,Low,High,Data Analysis,"$99,723 ",Yes,Decline
Sales Manager,Finance,Small,London,Medium,High,Project Management,"$114,958 ",No,Decline
Data Scientist,Transportation,Large,London,Medium,High,Communication,"$91,078 ",No,Growth
Data Scientist,Healthcare,Medium,Paris,High,Low,Python,"$148,467 ",Yes,Stable
Sales Manager,Telecommunications,Small,Sydney,High,High,Machine Learning,"$96,128 ",No,Growth
HR Manager,Education,Medium,London,Low,Low,Machine Learning,"$126,850 ",No,Growth
